MatchID,TeamName
368,"Chennai Super Kings"
369,"Kings XI Punjab"
369,"Delhi Daredevils"
370,"Mumbai Indians"
371,"Kings XI Punjab"
371,"Chennai Super Kings"
372,"Delhi Daredevils"
373,"Rajasthan Royals"
373,"Deccan Chargers"
374,"Kings XI Punjab"
374,"Delhi Daredevils"
375,"Pune Warriors"
376,"Deccan Chargers"
377,"Rajasthan Royals"
377,"Mumbai Indians"
378,"Delhi Daredevils"
379,"Mumbai Indians"
379,"Chennai Super Kings"
380,"Delhi Daredevils"
380,"Chennai Super Kings"
381,"Chennai Super Kings"
382,"Delhi Daredevils"
383,"Mumbai Indians"
384,"Sunrisers Hyderabad"
384,"Pune Warriors"
385,"Rajasthan Royals"
385,"Delhi Daredevils"
386,"Mumbai Indians"
386,"Chennai Super Kings"
387,"Pune Warriors"
387,"Kings XI Punjab"
388,"Sunrisers Hyderabad"
389,"Rajasthan Royals"
390,"Mumbai Indians"
390,"Delhi Daredevils"
391,"Kings XI Punjab"
391,"Chennai Super Kings"
393,"Rajasthan Royals"
393,"Pune Warriors"
394,"Sunrisers Hyderabad"
394,"Delhi Daredevils"
395,"Pune Warriors"
395,"Mumbai Indians"
396,"Chennai Super Kings"
397,"Sunrisers Hyderabad"
398,"Rajasthan Royals"
398,"Kings XI Punjab"
399,"Pune Warriors"
399,"Chennai Super Kings"
400,"Kings XI Punjab"
401,"Delhi Daredevils"
402,"Sunrisers Hyderabad"
402,"Pune Warriors"
403,"Rajasthan Royals"
403,"Mumbai Indians"
404,"Delhi Daredevils"
404,"Chennai Super Kings"
405,"Sunrisers Hyderabad"
405,"Kings XI Punjab"
406,"Chennai Super Kings"
407,"Rajasthan Royals"
408,"Mumbai Indians"
408,"Delhi Daredevils"
409,"Pune Warriors"
409,"Kings XI Punjab"
410,"Rajasthan Royals"
410,"Chennai Super Kings"
411,"Pune Warriors"
412,"Kings XI Punjab"
412,"Delhi Daredevils"
413,"Mumbai Indians"
414,"Sunrisers Hyderabad"
414,"Chennai Super Kings"
415,"Kings XI Punjab"
416,"Sunrisers Hyderabad"
416,"Rajasthan Royals"
417,"Mumbai Indians"
418,"Chennai Super Kings"
419,"Pune Warriors"
419,"Delhi Daredevils"
420,"Rajasthan Royals"
421,"Mumbai Indians"
421,"Kings XI Punjab"
422,"Pune Warriors"
422,"Chennai Super Kings"
423,"Sunrisers Hyderabad"
423,"Mumbai Indians"
424,"Delhi Daredevils"
425,"Kings XI Punjab"
425,"Chennai Super Kings"
426,"Pune Warriors"
427,"Rajasthan Royals"
428,"Sunrisers Hyderabad"
428,"Delhi Daredevils"
429,"Kings XI Punjab"
430,"Mumbai Indians"
430,"Chennai Super Kings"
431,"Rajasthan Royals"
431,"Pune Warriors"
432,"Sunrisers Hyderabad"
433,"Rajasthan Royals"
433,"Delhi Daredevils"
434,"Mumbai Indians"
435,"Sunrisers Hyderabad"
435,"Chennai Super Kings"
436,"Rajasthan Royals"
436,"Kings XI Punjab"
437,"Pune Warriors"
438,"Delhi Daredevils"
439,"Pune Warriors"
439,"Mumbai Indians"
440,"Sunrisers Hyderabad"
440,"Kings XI Punjab"
442,"Rajasthan Royals"
442,"Chennai Super Kings"
443,"Kings XI Punjab"
443,"Delhi Daredevils"
444,"Sunrisers Hyderabad"
444,"Mumbai Indians"
445,"Pune Warriors"
446,"Delhi Daredevils"
446,"Chennai Super Kings"
447,"Rajasthan Royals"
447,"Mumbai Indians"
448,"Kings XI Punjab"
449,"Sunrisers Hyderabad"
449,"Rajasthan Royals"
450,"Mumbai Indians"
450,"Kings XI Punjab"
451,"Pune Warriors"
451,"Delhi Daredevils"
452,"Chennai Super Kings"
453,"Sunrisers Hyderabad"
454,"Mumbai Indians"
454,"Chennai Super Kings"
455,"Sunrisers Hyderabad"
455,"Rajasthan Royals"
456,"Rajasthan Royals"
456,"Mumbai Indians"
457,"Mumbai Indians"
457,"Chennai Super Kings"
458,"Mumbai Indians"
