Name,DOB,Match_ID,inning,Batting_Team,Bowling_Team,over,Ball
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,4
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,4
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,5
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,5
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,6
"SR Watson",17-Jun-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,6
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,1
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,1
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,2
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,2
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,3
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,3
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,4
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,4
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,5
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,5
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,6
"S Aravind",8-Apr-84,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,6
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,1
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,1
"MC Henriques",1-Feb-87,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,2
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,2
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,3
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,3
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,4
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,4
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,5
"Yuvraj Singh",12-Dec-81,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,5
"DJ Hooda",19-Apr-95,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,6
"YS Chahal",23-Jul-90,1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,6
