MatchID,inning,batting_team,bowling_team,over,Ball
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",19,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,8
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,7
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",18,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",17,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",16,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",15,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",14,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,7
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",13,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",12,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",11,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",10,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",9,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",8,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",7,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",6,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",5,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",5,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",5,4
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",5,3
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",5,2
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",5,1
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",4,6
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",4,5
1,1,"Sunrisers Hyderabad","Royal Challengers Bangalore",4,4
